limpe a lista a seguir e deixe somente as linhas que conterem failed: [  102.4037] I/Host: Status: Varredura 'Fighting-Force-SLUS-00433.chd'...
[  105.8051] I/Host: Status: Varredura 'First-Kiss-Monogatari-SLPS-01708-Disc1.chd'...
[  105.8472] I/Host: Status: Varredura 'First-Kiss-Story-SLPS-03294.chd'...
[  105.9003] I/Host: Status: Varredura 'First-Queen-IV-SLPS-00604.chd'...
[  105.9488] I/Host: Status: Varredura 'Fish-Eyes-II-SLPS-02383.chd'...
[  105.9835] I/Host: Status: Varredura 'Fish-Eyes-SLPS-00463.chd'...
[  106.0044] I/Host: Status: Varredura 'Fish-On-Bass-SLPS-02288.chd'...
[  106.0523] I/Host: Status: Varredura 'Fisher's-Road-SLPS-01943.chd'...
[  106.1019] I/Host: Status: Varredura 'Fisherman's-Bait-3-SLES-03295.chd'...
[  106.1570] I/Host: Status: Varredura 'Fisherman's-Bait-A-Bass-Challenge-SLES-02085.chd'...
[  106.2622] I/Host: Status: Varredura 'Fisherman's-Bait-Big-Ol'-Bass-2-SLUS-01259.chd'...
[  106.3507] I/Host: Status: Varredura 'Fishing-Freaks-Bassrise-Plus-SLPS-02572.chd'...
[  106.3965] I/Host: Status: Varredura 'Fishing-Freaks-Bassrise-SLPS-01931.chd'...
[  106.4621] I/Host: Status: Varredura 'Fishing-Koshien-II-SLPS-00749.chd'...
[  106.5125] I/Host: Status: Varredura 'Fist-Of-The-North-Star-Hokuto-No-Ken-SLPS-00369.chd'...
[  106.5858] I/Host: Status: Varredura 'Fist-SLPS-00538.chd'...
[  106.6454] I/Host: Status: Varredura 'Flintstones-Bedrock-Bowling-SLUS-00931.chd'...
[  106.7714] I/Host: Status: Varredura 'Flintstones-The-Bedrock-Bowling-SLES-02345.chd'...
[  106.8313] I/Host: Status: Varredura 'Floating-Runner-Quest-For-The-7-Crystals-SLUS-00231.chd'...
[  107.3112] I/Host: Status: Varredura 'Floating-Runner-Tsuno-Suishou-No-Monogatari-SLPS-00147.chd'...
[  107.3574] I/Host: Status: Varredura 'Fluid-SCES-00985.chd'...
[  107.3883] I/Host: Status: Varredura 'Football-Madness-SLES-04047.chd'...
[  107.4490] I/Host: Status: Varredura 'Ford-Racing-SLUS-01301.chd'...
[  107.4665] I/Host: Status: Varredura 'Ford-Truck-Mania-SLUS-01540.chd'...
[  107.4959] I/Host: Status: Varredura 'Forget-Me-Not-Palette-SLPS-03191.chd'...
[  107.5467] I/Host: Status: Varredura 'Formation-Soccer-'97-The-Road-To-France-SLPS-00762.chd'...
[  107.5858] I/Host: Status: Varredura 'Formation-Soccer-'98-Ganbare-Nippon-In-France-SLPS-01419.chd'...
[  107.6267] I/Host: Status: Varredura 'Formation-Soccer-98-SLPM-86640.chd'...
[  107.6737] I/Host: Status: Varredura 'Formula-1-'98-SLUS-00744.chd'...
[  107.7087] I/Host: Status: Varredura 'Formula-1-2000-SCES-02777.chd'...
[  107.7543] I/Host: Status: Varredura 'Formula-1-2001-SCES-03404.chd'...
[  107.7846] I/Host: Status: Varredura 'Formula-1-97-SLES-00859.chd'...
[  107.8065] I/Host: Status: Varredura 'Formula-1-Arcade-SCES-03886.chd'...
[  107.8439] I/Host: Status: Varredura 'Formula-1-Championship-Edition-SLUS-00546.chd'...
[  107.8921] I/Host: Status: Varredura 'Formula-1-Championship-Season-2000-SLUS-01290.chd'...
[  107.9344] I/Host: Status: Varredura 'Formula-1-SCUS-94353.chd'...
[  107.9906] I/Host: Status: Varredura 'Formula-Circus-SLPS-00358.chd'...
